"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","Get courses","LMS service","Wed Mar 25 17:10:39 UTC 2026","passed","Wed Mar 25 17:10:39 UTC 2026","Get entities","Courses","",""
"","289","Create user","LMS service","Wed Mar 25 17:10:45 UTC 2026","passed","Wed Mar 25 17:10:45 UTC 2026","Create entity","Users","",""
"","18","Get exercise","LMS service","Wed Mar 25 17:10:41 UTC 2026","passed","Wed Mar 25 17:10:41 UTC 2026","Get entity","Exercises","",""
"","284","Get exercises","LMS service","Wed Mar 25 17:10:40 UTC 2026","passed","Wed Mar 25 17:10:41 UTC 2026","Get entities","Exercises","",""
"","27","Create course","LMS service","Wed Mar 25 17:10:39 UTC 2026","passed","Wed Mar 25 17:10:39 UTC 2026","Create entity","Courses","",""
"","23","Create exercise","LMS service","Wed Mar 25 17:10:40 UTC 2026","passed","Wed Mar 25 17:10:40 UTC 2026","Create entity","Exercises","",""
"","262","Create file","LMS service","Wed Mar 25 17:10:42 UTC 2026","passed","Wed Mar 25 17:10:43 UTC 2026","Create entity","Files","",""
"","18","Get file with incorrect file id","LMS service","Wed Mar 25 17:10:44 UTC 2026","passed","Wed Mar 25 17:10:44 UTC 2026","Validate entity","Files","",""
"","263","Create file with empty directory","LMS service","Wed Mar 25 17:10:44 UTC 2026","passed","Wed Mar 25 17:10:44 UTC 2026","Validate entity","Files","",""
"","549","Create user","LMS service","Wed Mar 25 17:10:45 UTC 2026","passed","Wed Mar 25 17:10:45 UTC 2026","Create entity","Users","",""
"","21","Delete exercise","LMS service","Wed Mar 25 17:10:42 UTC 2026","passed","Wed Mar 25 17:10:42 UTC 2026","Delete entity","Exercises","",""
"","12","Get user me","LMS service","Wed Mar 25 17:10:46 UTC 2026","passed","Wed Mar 25 17:10:46 UTC 2026","Get entity","Users","",""
"","303","Update course","LMS service","Wed Mar 25 17:10:38 UTC 2026","passed","Wed Mar 25 17:10:38 UTC 2026","Update entity","Courses","",""
"","551","Login with correct email and password","LMS service","Wed Mar 25 17:10:37 UTC 2026","passed","Wed Mar 25 17:10:38 UTC 2026","Login","Authentication","",""
"","266","Create file with empty filename","LMS service","Wed Mar 25 17:10:43 UTC 2026","passed","Wed Mar 25 17:10:43 UTC 2026","Validate entity","Files","",""
"","292","Update exercise","LMS service","Wed Mar 25 17:10:42 UTC 2026","passed","Wed Mar 25 17:10:42 UTC 2026","Update entity","Exercises","",""
"","550","Create user","LMS service","Wed Mar 25 17:10:44 UTC 2026","passed","Wed Mar 25 17:10:44 UTC 2026","Create entity","Users","",""
